,Agency,Tweets ago,compound
0,BBC,1,0.0
1,BBC,2,-0.4215
2,BBC,3,0.4939
3,BBC,4,-0.1027
4,BBC,5,0.0
5,BBC,6,0.3182
6,BBC,7,-0.0644
7,BBC,8,0.6997
8,BBC,9,0.8439
9,BBC,10,0.7269
10,BBC,11,0.6246
11,BBC,12,0.0
12,BBC,13,0.4404
13,BBC,14,0.5994
14,BBC,15,0.7901
15,BBC,16,0.4215
16,BBC,17,-0.2732
17,BBC,18,0.5023
18,BBC,19,0.0
19,BBC,20,-0.8555
20,BBC,21,0.6124
21,BBC,22,0.4472
22,BBC,23,0.1531
23,BBC,24,0.0
24,BBC,25,-0.1779
25,BBC,26,0.0
26,BBC,27,-0.6621
27,BBC,28,0.0
28,BBC,29,0.0
29,BBC,30,0.0
30,BBC,31,0.6369
31,BBC,32,0.0
32,BBC,33,0.4199
33,BBC,34,0.7845
34,BBC,35,0.7717
35,BBC,36,0.8384
36,BBC,37,0.8126
37,BBC,38,0.0
38,BBC,39,0.5267
39,BBC,40,0.7506
40,BBC,41,0.0
41,BBC,42,0.0
42,BBC,43,0.0
43,BBC,44,0.4019
44,BBC,45,0.8468
45,BBC,46,0.4215
46,BBC,47,-0.3182
47,BBC,48,0.4588
48,BBC,49,0.6369
49,BBC,50,0.3382
50,BBC,51,0.1779
51,BBC,52,0.0498
52,BBC,53,0.802
53,BBC,54,0.2263
54,BBC,55,0.0
55,BBC,56,0.4939
56,BBC,57,-0.765
57,BBC,58,0.7003
58,BBC,59,0.0
59,BBC,60,0.0
60,BBC,61,0.0
61,BBC,62,0.0
62,BBC,63,0.5141
63,BBC,64,0.657
64,BBC,65,0.0
65,BBC,66,0.6249
66,BBC,67,0.296
67,BBC,68,0.1695
68,BBC,69,-0.7717
69,BBC,70,0.0
70,BBC,71,0.0
71,BBC,72,-0.6705
72,BBC,73,0.0
73,BBC,74,0.0
74,BBC,75,0.0
75,BBC,76,0.4754
76,BBC,77,0.0
77,BBC,78,-0.4404
78,BBC,79,-0.296
79,BBC,80,-0.5514
80,BBC,81,0.0
81,BBC,82,-0.296
82,BBC,83,-0.3612
83,BBC,84,0.6114
84,BBC,85,-0.3612
85,BBC,86,0.5719
86,BBC,87,0.0
87,BBC,88,0.7569
88,BBC,89,0.0
89,BBC,90,0.0
90,BBC,91,0.2732
91,BBC,92,-0.4767
92,BBC,93,0.4588
93,BBC,94,0.0
94,BBC,95,0.0
95,BBC,96,0.9184
96,BBC,97,0.0
97,BBC,98,0.7684
98,BBC,99,0.0
99,BBC,100,-0.5095
100,CBS,1,0.6705
101,CBS,2,0.3818
102,CBS,3,0.4404
103,CBS,4,0.0
104,CBS,5,0.7096
105,CBS,6,0.7096
106,CBS,7,0.4939
107,CBS,8,-0.6981
108,CBS,9,0.4547
109,CBS,10,0.8591
110,CBS,11,0.4885
111,CBS,12,0.5994
112,CBS,13,0.7717
113,CBS,14,0.6908
114,CBS,15,0.0
115,CBS,16,0.0
116,CBS,17,0.0
117,CBS,18,0.4404
118,CBS,19,0.5562
119,CBS,20,0.0
120,CBS,21,0.0
121,CBS,22,0.4482
122,CBS,23,0.784
123,CBS,24,0.9359
124,CBS,25,-0.5423
125,CBS,26,0.0
126,CBS,27,0.0
127,CBS,28,0.7644
128,CBS,29,0.0
129,CBS,30,0.0
130,CBS,31,0.5093
131,CBS,32,0.0
132,CBS,33,0.0
133,CBS,34,0.6808
134,CBS,35,0.4404
135,CBS,36,-0.4019
136,CBS,37,0.3612
137,CBS,38,0.6124
138,CBS,39,0.3182
139,CBS,40,0.68
140,CBS,41,0.8619
141,CBS,42,0.0
142,CBS,43,0.7506
143,CBS,44,0.0
144,CBS,45,0.0
145,CBS,46,0.8478
146,CBS,47,-0.5859
147,CBS,48,0.0516
148,CBS,49,0.5574
149,CBS,50,0.0
150,CBS,51,0.0772
151,CBS,52,0.0
152,CBS,53,0.1531
153,CBS,54,0.0
154,CBS,55,0.8268
155,CBS,56,-0.0772
156,CBS,57,0.4019
157,CBS,58,0.4003
158,CBS,59,0.6114
159,CBS,60,0.0
160,CBS,61,0.0
161,CBS,62,0.1139
162,CBS,63,0.1007
163,CBS,64,0.4588
164,CBS,65,0.1779
165,CBS,66,-0.2263
166,CBS,67,-0.4767
167,CBS,68,0.4939
168,CBS,69,0.5093
169,CBS,70,0.8261
170,CBS,71,0.8309
171,CBS,72,0.6588
172,CBS,73,-0.5106
173,CBS,74,0.0
174,CBS,75,0.7525
175,CBS,76,0.0
176,CBS,77,0.8516
177,CBS,78,0.8442
178,CBS,79,0.923
179,CBS,80,0.5994
180,CBS,81,0.8834
181,CBS,82,0.8553
182,CBS,83,0.8553
183,CBS,84,0.9215
184,CBS,85,0.0
185,CBS,86,0.5994
186,CBS,87,0.6908
187,CBS,88,0.0
188,CBS,89,-0.296
189,CBS,90,0.0
190,CBS,91,0.3818
191,CBS,92,0.5093
192,CBS,93,0.0
193,CBS,94,0.7783
194,CBS,95,0.9259
195,CBS,96,0.0
196,CBS,97,0.5106
197,CBS,98,0.1531
198,CBS,99,0.3182
199,CBS,100,0.6597
200,CNN,1,0.9069
201,CNN,2,-0.1027
202,CNN,3,0.3182
203,CNN,4,-0.3612
204,CNN,5,0.34
205,CNN,6,-0.2732
206,CNN,7,-0.461
207,CNN,8,0.3089
208,CNN,9,-0.4404
209,CNN,10,-0.4767
210,CNN,11,0.0
211,CNN,12,0.4019
212,CNN,13,0.6249
213,CNN,14,-0.0772
214,CNN,15,-0.7783
215,CNN,16,0.34
216,CNN,17,0.2263
217,CNN,18,-0.4215
218,CNN,19,0.2263
219,CNN,20,0.0772
220,CNN,21,0.4767
221,CNN,22,0.0
222,CNN,23,-0.2732
223,CNN,24,0.0
224,CNN,25,0.3818
225,CNN,26,-0.5423
226,CNN,27,0.0
227,CNN,28,0.0
228,CNN,29,0.8268
229,CNN,30,0.0
230,CNN,31,0.2023
231,CNN,32,0.0
232,CNN,33,-0.2382
233,CNN,34,-0.4767
234,CNN,35,0.4019
235,CNN,36,-0.296
236,CNN,37,0.4549
237,CNN,38,0.6369
238,CNN,39,-0.296
239,CNN,40,0.5267
240,CNN,41,-0.128
241,CNN,42,-0.128
242,CNN,43,-0.2263
243,CNN,44,-0.2732
244,CNN,45,0.0
245,CNN,46,0.0
246,CNN,47,0.0
247,CNN,48,0.5413
248,CNN,49,0.0
249,CNN,50,0.7964
250,CNN,51,0.0
251,CNN,52,-0.296
252,CNN,53,0.0
253,CNN,54,0.0
254,CNN,55,0.0
255,CNN,56,0.0
256,CNN,57,-0.796
257,CNN,58,-0.4939
258,CNN,59,-0.802
259,CNN,60,0.0
260,CNN,61,-0.7269
261,CNN,62,0.0
262,CNN,63,-0.5267
263,CNN,64,-0.7351
264,CNN,65,0.3612
265,CNN,66,0.0
266,CNN,67,0.4767
267,CNN,68,-0.7351
268,CNN,69,-0.4588
269,CNN,70,0.6369
270,CNN,71,0.0
271,CNN,72,-0.3612
272,CNN,73,0.128
273,CNN,74,0.0
274,CNN,75,0.3818
275,CNN,76,0.3182
276,CNN,77,0.1531
277,CNN,78,-0.2732
278,CNN,79,-0.5267
279,CNN,80,-0.5267
280,CNN,81,-0.1531
281,CNN,82,0.0
282,CNN,83,0.7269
283,CNN,84,0.0
284,CNN,85,-0.1531
285,CNN,86,-0.4767
286,CNN,87,0.0
287,CNN,88,0.4939
288,CNN,89,0.0
289,CNN,90,0.4585
290,CNN,91,0.4585
291,CNN,92,-0.4939
292,CNN,93,-0.362
293,CNN,94,-0.1779
294,CNN,95,-0.0258
295,CNN,96,0.0
296,CNN,97,-0.5859
297,CNN,98,0.7713
298,CNN,99,0.0
299,CNN,100,0.1531
300,Fox News,1,0.34
301,Fox News,2,-0.4019
302,Fox News,3,0.0
303,Fox News,4,0.0
304,Fox News,5,0.25
305,Fox News,6,0.0
306,Fox News,7,0.6908
307,Fox News,8,-0.6369
308,Fox News,9,-0.4767
309,Fox News,10,0.0
310,Fox News,11,-0.25
311,Fox News,12,-0.5994
312,Fox News,13,0.7269
313,Fox News,14,0.2732
314,Fox News,15,0.0
315,Fox News,16,-0.3182
316,Fox News,17,0.4939
317,Fox News,18,0.0
318,Fox News,19,0.0
319,Fox News,20,0.0
320,Fox News,21,0.0
321,Fox News,22,-0.5719
322,Fox News,23,0.4215
323,Fox News,24,-0.2263
324,Fox News,25,-0.5994
325,Fox News,26,-0.5267
326,Fox News,27,0.0
327,Fox News,28,0.4939
328,Fox News,29,-0.4973
329,Fox News,30,0.2144
330,Fox News,31,0.0
331,Fox News,32,-0.5574
332,Fox News,33,0.128
333,Fox News,34,0.2023
334,Fox News,35,0.5267
335,Fox News,36,0.7003
336,Fox News,37,-0.4404
337,Fox News,38,-0.34
338,Fox News,39,0.0
339,Fox News,40,-0.5574
340,Fox News,41,0.0
341,Fox News,42,-0.34
342,Fox News,43,-0.34
343,Fox News,44,-0.1531
344,Fox News,45,-0.4019
345,Fox News,46,0.0516
346,Fox News,47,0.0516
347,Fox News,48,0.2732
348,Fox News,49,-0.4019
349,Fox News,50,0.3182
350,Fox News,51,0.3612
351,Fox News,52,0.7845
352,Fox News,53,0.25
353,Fox News,54,0.2023
354,Fox News,55,-0.6689
355,Fox News,56,0.7579
356,Fox News,57,0.7906
357,Fox News,58,0.8271
358,Fox News,59,0.0
359,Fox News,60,0.5106
360,Fox News,61,0.34
361,Fox News,62,0.4588
362,Fox News,63,0.3612
363,Fox News,64,0.2263
364,Fox News,65,0.34
365,Fox News,66,0.4215
366,Fox News,67,-0.3818
367,Fox News,68,-0.6369
368,Fox News,69,0.4019
369,Fox News,70,0.0
370,Fox News,71,-0.2263
371,Fox News,72,0.6214
372,Fox News,73,0.4588
373,Fox News,74,-0.4215
374,Fox News,75,0.0
375,Fox News,76,0.0
376,Fox News,77,-0.4019
377,Fox News,78,-0.1779
378,Fox News,79,-0.5267
379,Fox News,80,-0.1027
380,Fox News,81,-0.1027
381,Fox News,82,-0.6486
382,Fox News,83,-0.6369
383,Fox News,84,0.5267
384,Fox News,85,0.0
385,Fox News,86,0.4588
386,Fox News,87,0.0
387,Fox News,88,0.0
388,Fox News,89,0.0
389,Fox News,90,0.0
390,Fox News,91,0.0
391,Fox News,92,0.0
392,Fox News,93,-0.25
393,Fox News,94,-0.2732
394,Fox News,95,0.0
395,Fox News,96,-0.1027
396,Fox News,97,-0.5719
397,Fox News,98,0.6369
398,Fox News,99,0.0
399,Fox News,100,0.0
400,The New York Times,1,0.3895
401,The New York Times,2,0.0
402,The New York Times,3,-0.7717
403,The New York Times,4,0.0
404,The New York Times,5,0.0
405,The New York Times,6,-0.6249
406,The New York Times,7,0.0
407,The New York Times,8,-0.3875
408,The New York Times,9,-0.3818
409,The New York Times,10,0.7003
410,The New York Times,11,-0.7506
411,The New York Times,12,0.0
412,The New York Times,13,0.0
413,The New York Times,14,0.3818
414,The New York Times,15,0.6597
415,The New York Times,16,0.3182
416,The New York Times,17,0.0
417,The New York Times,18,-0.8316
418,The New York Times,19,0.2732
419,The New York Times,20,0.0
420,The New York Times,21,0.0
421,The New York Times,22,0.0
422,The New York Times,23,0.7269
423,The New York Times,24,0.0
424,The New York Times,25,0.0516
425,The New York Times,26,0.4019
426,The New York Times,27,0.5574
427,The New York Times,28,0.4019
428,The New York Times,29,0.0
429,The New York Times,30,0.0
430,The New York Times,31,0.4939
431,The New York Times,32,0.2023
432,The New York Times,33,0.8074
433,The New York Times,34,0.0085
434,The New York Times,35,-0.1531
435,The New York Times,36,-0.2263
436,The New York Times,37,0.0
437,The New York Times,38,0.0
438,The New York Times,39,0.0
439,The New York Times,40,-0.296
440,The New York Times,41,0.6344
441,The New York Times,42,-0.3612
442,The New York Times,43,-0.1027
443,The New York Times,44,-0.7906
444,The New York Times,45,0.4939
445,The New York Times,46,0.0
446,The New York Times,47,-0.5267
447,The New York Times,48,0.0
448,The New York Times,49,0.0
449,The New York Times,50,-0.5574
450,The New York Times,51,-0.2263
451,The New York Times,52,0.2023
452,The New York Times,53,-0.1027
453,The New York Times,54,-0.4215
454,The New York Times,55,0.2411
455,The New York Times,56,0.0
456,The New York Times,57,-0.2732
457,The New York Times,58,0.0
458,The New York Times,59,0.0
459,The New York Times,60,0.0
460,The New York Times,61,-0.4168
461,The New York Times,62,0.4118
462,The New York Times,63,0.0
463,The New York Times,64,0.4215
464,The New York Times,65,0.0
465,The New York Times,66,0.0
466,The New York Times,67,-0.8519
467,The New York Times,68,-0.3182
468,The New York Times,69,-0.4767
469,The New York Times,70,-0.34
470,The New York Times,71,0.0
471,The New York Times,72,0.3291
472,The New York Times,73,0.1779
473,The New York Times,74,0.0
474,The New York Times,75,-0.4215
475,The New York Times,76,0.0
476,The New York Times,77,0.4767
477,The New York Times,78,0.0
478,The New York Times,79,-0.5719
479,The New York Times,80,0.5574
480,The New York Times,81,0.0
481,The New York Times,82,0.0
482,The New York Times,83,-0.5423
483,The New York Times,84,0.3182
484,The New York Times,85,0.25
485,The New York Times,86,-0.0679
486,The New York Times,87,-0.7845
487,The New York Times,88,-0.128
488,The New York Times,89,-0.128
489,The New York Times,90,0.4404
490,The New York Times,91,-0.3818
491,The New York Times,92,-0.5106
492,The New York Times,93,-0.6705
493,The New York Times,94,0.3612
494,The New York Times,95,0.4939
495,The New York Times,96,0.0
496,The New York Times,97,0.0258
497,The New York Times,98,0.3612
498,The New York Times,99,-0.128
499,The New York Times,100,0.0
